perf, CACHE_MISS_L1, CACHE_MISS_L2
42.30,1481993,512191
42.53,1491409,512103
42.25,1489089,511019
42.49,1489804,514777
43.15,1484474,511207
43.19,1495571,486437
43.93,1500900,485701
43.06,1507977,447645
43.48,1503491,446865
44.08,1505941,449234
43.46,1494285,436451
45.27,1527297,258673
44.79,1502240,235220
45.64,1494454,222928
46.09,1873063,300095
43.90,373098,500345
38.43,580165,820375
33.22,838603,870443
46.67,1860500,244144
42.97,375162,442342
34.44,835351,839883
25.44,1713995,1727627
18.76,3118384,3121017
6.11,11847046,11852141
43.28,376732,433417
40.44,572636,721615
35.84,843390,737762
47.14,1859560,225843
42.44,569434,687646
38.26,846973,742964
19.79,5926898,2090820
42.17,1639784,259482
47.63,1903325,223190
42.50,1618776,237335
44.99,3098266,235083
25.80,5946270,231811
13.17,11869274,234740
47.60,1931953,222856
46.12,561699,225152
44.32,845050,224387
13.03,11893215,226058
47.76,1883013,222944
46.92,436129,222864
46.05,585623,222898
42.66,1588040,222935
44.99,2586092,223315
42.39,1436254,517682
42.94,1435941,519251
42.45,1437850,517723
42.48,1435806,523470
42.94,1438719,468428
43.17,1436902,470322
43.17,1440820,469922
43.22,1439922,468276
43.29,1441321,444199
43.58,1444008,445242
43.89,1439875,444520
43.38,1452107,434785
43.61,1438772,434123
45.23,1442584,252065
45.01,1448022,261573
44.95,1449856,256336
44.97,1439168,234649
45.36,1443242,225776
45.11,1442653,225792
42.74,1334804,510013
42.86,1335672,512077
42.37,1331897,513566
42.53,1324609,522532
43.04,1339608,512303
42.86,1335524,482776
42.95,1335259,481750
41.96,1335078,486060
42.65,1341015,447651
43.21,1335024,432562
44.68,1346191,252649
44.16,1344088,257078
44.48,1336194,257097
45.01,1355476,252936
44.65,1338055,237279
44.20,1357800,227006
45.03,1327374,222872
41.50,1223052,504744
41.04,1225084,504159
42.00,1225345,509666
41.41,1218002,479398
42.20,1219970,475454
41.99,1217384,478653
41.01,1229102,478920
42.54,1219031,475605
41.95,1218799,443796
44.51,1231254,254415
44.84,1238487,236963
44.79,1253391,227642
44.87,1227078,223044
41.42,1281409,510359
42.22,1282040,510383
42.24,1274294,518168
42.61,1279822,477873
42.93,1285728,479498
43.15,1278087,479713
42.91,1276415,483110
43.17,1281622,478838
41.78,1281898,447250
42.74,1283024,446460
42.61,1284550,433992
43.22,1278517,433129
44.67,1281846,249925
43.88,1289058,254415
44.54,1276608,235379
44.29,1295189,235868
44.98,1292985,226502
44.93,1291823,226866
44.99,1273699,222978
41.43,1279247,509330
41.73,1278976,515801
41.97,1284626,510332
41.81,1283317,484907
42.54,1286009,443575
42.34,1287349,448466
41.89,1286618,444984
42.53,1283778,433495
43.06,1290672,434083
44.73,1287791,255915
44.44,1290361,253231
44.55,1286859,254865
45.11,1289944,237467
44.70,1290956,235574
45.01,1294236,227556
42.05,1169634,489676
41.82,1168887,490509
42.65,1167527,492878
41.10,1166402,493660
41.69,1169929,492358
42.32,1168559,467044
42.21,1172033,469927
41.49,1171171,472815
42.34,1169007,470943
42.10,1174737,444329
42.11,1170711,445139
41.70,1168921,446385
42.62,1172101,443310
42.21,1173096,432990
42.56,1172676,432079
44.05,1172099,252830
44.28,1172297,235564
44.74,1174922,226735
44.48,1183361,225983
44.92,1168049,223137
41.57,1225736,497505
41.30,1227270,498881
41.92,1225345,500897
41.60,1219767,504524
42.85,1222093,497739
42.33,1225082,471825
41.94,1224060,476415
41.66,1224991,478528
42.73,1224525,473951
42.43,1226718,444359
42.10,1233169,446489
42.72,1220762,447404
44.09,1233313,257367
44.09,1232376,252434
44.62,1233286,236559
44.36,1232235,234144
44.16,1234393,236010
41.28,1164111,486438
40.98,1165458,487564
41.35,1161587,487628
40.66,1163474,490927
41.12,1162206,481752
41.80,1168589,466645
41.95,1164424,466204
42.03,1164125,469626
41.60,1159522,471467
42.00,1164480,467086
41.85,1162856,444688
42.26,1165221,443883
42.01,1166422,431773
42.05,1162077,432252
43.59,1174788,253577
44.22,1167172,256328
44.25,1165579,258101
43.57,1176371,234189
44.48,1174313,226397
41.91,1113616,489376
41.37,1115316,486257
41.19,1114909,490219
40.74,1115042,487365
41.85,1116165,468283
41.62,1116881,444287
42.34,1117640,433164
42.33,1117272,431189
44.16,1122318,261287
43.66,1117513,259673
43.63,1118950,253545
43.96,1122417,236243
43.69,1120599,236159
44.66,1141847,226629
44.48,1108098,222920
