perf, CACHE_MISS_L1, CACHE_MISS_L2
43.13,3154868,834924
40.98,1823970,750209
20.25,1417162,755273
40.28,2484992,999050
42.97,1440458,642018
30.96,2008418,1282730
43.50,4561210,716053
23.17,1187941,1105239
45.90,2708430,520382
41.94,2451804,1960599
40.16,2580574,1690212
41.85,4306263,501107
27.46,7636342,190371
14.26,16082417,211981
16.00,9214647,506422
27.40,2257751,1483730
34.07,2294567,2278031
44.71,2580455,158336
42.75,1252074,669238
48.28,2375180,181601
37.84,4031718,590069
39.54,2789991,283452
44.35,2108234,175093
21.69,8586950,172730
46.88,1463596,169594
44.23,1206331,428804
42.65,1304104,593534
35.99,2556219,782645
40.80,7680185,634776
40.17,8032523,718261
34.84,4305076,1720805
47.08,4239795,294005
39.85,3105281,1301984
29.26,6485803,217042
38.34,1932778,1055880
39.66,3867810,638395
43.43,2558648,491409
32.82,2253442,1004190
23.72,2486062,1095629
45.65,4001275,544867
43.33,2032948,471491
39.05,2441015,1279189
40.46,2601231,538561
28.27,8019342,3089234
39.81,3929789,1591709
40.87,2587364,1924538
39.78,3047381,316670
48.16,7624909,80347
44.05,2604547,99458
46.47,5286166,90112
37.22,4064490,1212826
29.61,4084575,1395529
46.23,2775270,245864
37.03,1348832,635667
46.68,1527088,116409
33.23,3598766,708335
41.44,1570112,302341
37.23,1249421,646708
40.55,3834159,642441
45.03,2593157,608172
46.68,1426308,160470
37.63,1357804,491429
35.69,1586190,1057212
46.03,2143931,540252
45.40,2446272,511015
43.01,2924510,714220
24.28,7971236,233541
23.08,2052024,1114423
34.38,2071274,1399424
13.58,17399413,177588
46.53,2706166,213439
41.55,3091130,261641
7.14,31391136,499227
46.71,2287466,395508
28.05,5137751,670066
34.76,1784621,783012
13.69,17401314,89316
36.93,1974961,1425976
13.14,17828974,441899
27.70,3571637,439723
40.99,1446450,669225
35.35,4496366,2057705
35.72,4603697,2573971
44.56,3606047,512944
39.27,2727773,390293
42.97,4260624,235110
42.83,4107456,367041
23.07,7824358,197338
45.90,2139845,375074
35.49,3505360,767287
31.66,1811584,1058862
46.47,2554259,287169
42.40,4042659,143696
19.63,5476575,371040
45.63,2353256,552126
47.39,2280649,188915
26.67,7688255,406380
45.83,2342489,556232
42.53,2486574,973472
36.91,1887507,797509
41.77,2003617,1295496
47.53,1992908,190084
20.26,9505955,221414
46.02,2030094,387353
19.06,11940749,97225
32.89,3466482,513145
42.06,1859904,820903
31.50,5102494,155133
47.16,2150689,258353
38.74,2278443,566921
19.66,12070286,172253
41.53,3570677,547828
42.90,4627804,1116065
40.16,4618342,1600434
35.44,2160177,1035911
44.44,2813963,267997
22.18,2632681,431162
32.60,2314145,706755
24.73,1595062,1260556
31.12,2345303,1219509
43.87,2918327,421107
44.24,2961264,450880
42.69,4093237,211579
29.43,3908256,538578
36.37,3115066,791681
24.54,3168934,1967760
23.54,10838348,105705
32.93,4128944,293575
43.09,2418526,802018
38.77,2547135,1395757
47.21,1884593,168958
45.98,2233055,317738
34.94,4696356,546339
44.89,3143868,512236
46.61,3330346,280253
42.12,3443583,759763
30.35,1620508,767801
39.74,2780261,1390971
46.20,2573739,354902
31.78,4407255,459325
35.61,2685866,1668817
46.82,2818482,138286
45.61,2682968,430153
45.63,2579541,628102
30.15,2299621,2367737
36.61,4791743,341374
20.94,9151092,506736
41.01,2061863,955062
45.94,2258052,285957
36.53,3150345,1041801
37.73,1816124,946480
45.16,2035819,510838
28.27,3659032,995475
43.40,5001341,581184
36.82,2989951,772883
33.29,4093329,970105
26.21,5190562,3330209
26.28,4277103,2793298
39.23,2403834,877903
44.19,3348029,210898
36.93,4032107,668231
36.52,1637131,1347320
35.96,3842998,302385
34.89,4148388,447213
40.63,1885402,414562
41.97,3936707,527295
40.60,4379460,753885
41.27,2801272,426463
39.61,3251024,874019
31.37,2890126,1394228
45.72,3334766,207241
44.43,3331147,458533
37.01,3266517,1076420
38.78,3684530,593338
40.08,2569313,849511
31.59,1682820,1182900
47.05,1933706,156044
41.10,3770388,258871
34.37,1825666,901993
37.65,2640167,1258617
37.85,1824258,1079690
34.21,1772493,891291
45.08,1955007,226349
38.08,3701297,1290697
46.60,1931852,172315
43.99,2289937,471023
36.96,3431768,492121
46.63,2600435,226117
33.17,2400592,1119422
36.80,3046943,473190
40.62,2705691,547393
38.77,2271653,1106832
41.79,1860009,387180
43.52,3186800,379072
35.86,1892785,1322657
42.24,2006878,731027
43.82,2220649,603434
38.05,1871537,921855
43.01,1474207,377352
36.97,1359727,438738
