perf, CACHE_MISS_L1, CACHE_MISS_L2
36.86,578349,51051
46.16,849963,66351
27.51,2140891,81630
48.11,507017,30879
32.06,959130,26390
42.45,796793,39601
38.23,1238485,65759
44.83,661816,41293
47.39,1193871,43274
47.93,1316676,99760
48.04,1146845,56917
43.83,615035,60059
48.02,744878,83127
40.28,1448856,84102
46.74,841582,74242
43.94,963552,88413
40.39,1055950,96189
46.53,783138,91494
44.87,920607,77641
46.28,3789067,164694
38.39,1519768,101045
44.71,863926,67677
43.02,808990,48643
46.31,2014649,58388
26.95,719275,119960
41.85,1276581,28769
47.74,2091775,74863
44.64,1570470,54043
47.83,781172,72794
48.08,2007204,43235
45.07,894131,38203
41.09,782054,124293
47.30,1016531,47450
47.62,983104,55094
48.13,1247210,39739
47.10,1006045,50150
46.39,1968625,64370
48.16,3859141,45477
46.99,1944424,40581
37.55,1397812,61677
43.71,1553551,67633
44.04,687098,109741
36.06,2061913,44925
43.94,752363,105578
45.57,804887,26611
45.55,836222,91848
35.40,871703,30567
39.63,712613,71528
47.66,991372,53397
39.66,922088,26145
43.28,893555,75076
46.82,602805,42049
28.44,3048686,90344
10.26,11679314,69182
24.41,1127327,42637
44.15,1433463,46884
48.31,2238658,28814
47.58,1606834,40288
47.59,1559618,28670
45.31,493592,38455
46.32,990904,64161
48.14,1255143,59763
41.32,1134594,44072
38.75,2291083,78313
45.86,925944,111464
33.43,2236972,138723
37.73,1017971,70627
18.76,7000642,75389
23.72,4522058,98037
47.45,1272716,91173
46.47,865827,60848
48.66,910460,79291
47.57,1079250,88704
47.65,939131,128658
48.68,881060,40821
46.03,1019665,77875
48.73,968029,34215
46.94,820394,29477
48.59,930996,50011
18.46,7118188,69300
47.48,967195,33806
39.52,2192602,34359
40.14,1395168,132667
48.39,710665,27555
40.67,2049899,40070
49.18,1136503,28455
43.19,963754,114012
48.47,926832,49082
32.40,3827652,69047
47.88,1082233,56915
47.28,1061109,30558
41.75,1063220,36281
45.23,714414,38340
46.68,857101,40001
48.34,1008612,88010
48.97,886959,32566
41.01,1092417,48307
48.63,887228,87607
48.52,658477,59387
43.30,1099173,37274
38.67,1728793,53570
28.89,3829749,35334
47.39,719642,56234
48.78,609195,32113
48.73,2433157,33357
41.25,816530,55443
44.15,1116588,28702
48.65,1410198,58504
40.34,1226296,70509
47.95,1554641,35430
44.97,1592890,26801
41.84,1097583,99737
44.07,1564145,92040
41.18,1019203,119806
30.93,959303,31700
47.35,1680433,58668
45.77,1816220,56992
40.10,1387703,38771
46.72,1496424,48912
40.46,1516346,272698
40.95,864055,51463
47.42,1027202,58440
44.24,910076,77860
47.77,1675445,32317
48.09,1463532,55277
48.50,1503419,71059
43.02,1109307,51176
39.83,1215626,81550
36.97,1360086,30382
34.59,2001832,39078
35.73,3255502,37145
46.73,1422661,51166
42.34,1035326,67250
34.77,1070813,29853
43.33,886859,45230
48.38,986675,56875
32.47,1965271,88789
46.88,1162864,95110
45.46,910455,92149
48.28,976989,98600
47.79,1000549,41592
41.93,951101,88546
43.10,1029340,41719
35.36,892031,80081
35.08,1107159,127269
47.72,2542867,56489
45.43,1239653,42993
43.18,1603329,57271
46.50,704962,74997
36.81,1593141,40126
48.25,1506604,30106
42.92,978850,56765
48.96,1433736,29047
46.18,1931446,54935
48.16,1203535,59000
41.18,663485,65410
48.15,948756,60052
43.12,1463204,161531
45.88,1518891,85797
46.98,1568286,107821
47.98,1480812,48196
47.88,1460950,60456
48.24,1477169,40171
45.02,1481706,124652
46.52,1230507,48391
46.99,1932756,39414
46.90,1955946,59217
48.30,1249038,64409
46.21,1246430,71191
43.04,1725069,109326
48.36,939682,53166
47.63,965646,55638
47.95,962161,43928
43.21,1925087,64650
41.37,1596145,131978
42.86,1964180,80928
47.53,985250,73537
46.91,1039711,75927
46.51,1141950,96235
42.15,1095154,69165
45.53,1958263,63958
48.78,906932,27365
48.63,1176076,44880
47.16,984351,87030
40.76,1370956,95275
48.13,961612,27891
42.34,1353904,38553
48.59,925954,39459
37.85,786270,107589
46.06,1023504,122848
47.42,1037974,56407
48.00,980127,73828
48.57,918515,59348
48.45,979115,44925
45.11,1506362,43005
48.19,968468,50056
47.56,930324,121569
46.33,1009169,121622
48.48,688961,48909
45.35,909675,106123
