IdRun;NameConv;Time(ms);std;NbMicroKernel;AxeFuse;SizeAxeFuse;Schema
0;ResNet18_4;1.4883411633333334;0.18092853166409864;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;6;[V f, U (2, f), ULambda y, T (64, c), Hoist_vars [c], T (28, x), T (3, w),  T (3, h), T (1, x),  Lambda_apply y [((Iter 1), (Arg 13)), ((Iter 1), (Arg 15))], T (4, f),  T (1, c), T (1, x)]
1;ResNet18_4;0.3830112133333333;0.020272503736573303;1;axe_xx_0;14;[V f, U (2, f), U (14, y), T (1, c), Hoist_vars [c], T (1, x), T (3, w),  T (3, h), T (2, x), T (2, y), T (4, f), T (64, c), T (14, x)]
2;ResNet18_4;1.0497377466666662;0.31578415514337593;1;axe_out_channels_0,axe_yy_0,axe_xx_1;8;[V f, U (4, f), U (7, y), U (3, w), T (2, c), Hoist_vars [c], T (14, x),  T (1, w), T (3, h), T (2, x), T (4, y), T (2, f), T (32, c), T (1, x)]
3;ResNet18_4;11.104037469999998;1.897416450834386;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;7;[V f, U (2, f), ULambda y, U (3, h), T (1, c), Hoist_vars [c], T (7, x),  T (3, w), T (1, h), T (1, x),  Lambda_apply y [((Iter 2), (Arg 9)), ((Iter 1), (Arg 10))], T (4, f),  T (64, c), T (4, x)]
4;ResNet18_4;0.66293414;0.11370105319605717;1;axe_out_channels_0,axe_yy_0,axe_xx_1;10;[V f, U (4, f), U (7, y), T (16, c), Hoist_vars [c], T (1, x), T (3, w),  T (3, h), T (4, x), T (4, y), T (2, f), T (4, c), T (7, x)]
5;ResNet18_4;0.10893221333333333;0.0015205790370191917;2;axe_xx1_0;28;[V f, U (4, f), ULambda y, U (3, w), T (4, c), Hoist_vars [c], T (1, x),  T (1, w), T (3, h), T (1, x),  Lambda_apply y [((Iter 2), (Arg 5)), ((Iter 3), (Arg 6))], T (2, f),  T (16, c), T (28, x)]
6;ResNet18_4;1.1630719533333331;0.1394540421324421;2;axe_xx1_0;7;[V f, U (2, f), ULambda y, T (1, c), Hoist_vars [c], T (4, x), T (3, w),  T (3, h), T (1, x),  Lambda_apply y [((Iter 2), (Arg 9)), ((Iter 1), (Arg 10))], T (4, f),  T (64, c), T (7, x)]
7;ResNet18_4;5.24811654;1.0026507745897866;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;10;[V f, U (2, f), ULambda y, T (4, c), Hoist_vars [c], T (1, x), T (3, w),  T (3, h), T (4, x),  Lambda_apply y [((Iter 2), (Arg 9)), ((Iter 1), (Arg 10))], T (4, f),  T (16, c), T (7, x)]
8;ResNet18_4;0.13318782333333332;0.0010715992269137848;2;axe_xx1_0;28;[V f, U (2, f), ULambda y, T (8, c), Hoist_vars [c], T (1, x), T (3, w),  T (3, h), T (1, x),  Lambda_apply y [((Iter 1), (Arg 13)), ((Iter 1), (Arg 15))], T (4, f),  T (8, c), T (28, x)]
9;ResNet18_4;0.13752596666666667;0.0009834103107723283;2;axe_xx1_0;14;[V f, U (2, f), ULambda y, T (64, c), Hoist_vars [c], T (2, x), T (3, w),  T (3, h), T (1, x),  Lambda_apply y [((Iter 2), (Arg 9)), ((Iter 1), (Arg 10))], T (4, f),  T (1, c), T (14, x)]
10;ResNet18_4;1.4544160966666666;0.34144594962004754;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;32;[V f, U (4, f), ULambda y, U (3, w), T (2, c), Hoist_vars [c], T (1, x),  T (1, w), T (3, h), T (28, x),  Lambda_apply y [((Iter 2), (Arg 5)), ((Iter 3), (Arg 6))], T (2, f),  T (32, c), T (1, x)]
11;ResNet18_4;0.32702781000000003;0.036170189077163926;1;axe_out_channels_0,axe_yy_0,axe_xx_1;8;[V f, U (4, f), U (7, y), T (16, c), Hoist_vars [c], T (14, x), T (3, w),  T (3, h), T (2, x), T (4, y), T (2, f), T (4, c), T (1, x)]
12;ResNet18_4;0.64065496;0.13654474707025197;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;12;[V f, U (2, f), ULambda y, T (8, c), Hoist_vars [c], T (2, x), T (3, w),  T (3, h), T (7, x),  Lambda_apply y [((Iter 1), (Arg 13)), ((Iter 1), (Arg 15))], T (4, f),  T (8, c), T (2, x)]
13;ResNet18_4;1.5900868633333334;0.4468014722655069;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;6;[V f, U (4, f), ULambda y, U (3, w), T (4, c), Hoist_vars [c], T (7, x),  T (1, w), T (3, h), T (2, x),  Lambda_apply y [((Iter 2), (Arg 5)), ((Iter 3), (Arg 6))], T (2, f),  T (16, c), T (2, x)]
14;ResNet18_4;2.5333436066666666;0.5637092721112947;1;axe_out_channels_0,axe_yy_0,axe_xx_1;10;[V f, U (2, f), U (14, y), T (4, c), Hoist_vars [c], T (1, x), T (3, w),  T (3, h), T (4, x), T (2, y), T (4, f), T (16, c), T (7, x)]
15;ResNet18_4;2.226237323333333;0.5896367202769027;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_1;8;[V f, U (4, f), ULambda y, U (3, h), T (1, c), Hoist_vars [c], T (7, x),  T (3, w), T (1, h), T (4, x),  Lambda_apply y [((Iter 2), (Arg 5)), ((Iter 3), (Arg 6))], T (2, f),  T (64, c), T (1, x)]
