perf, CACHE_MISS_L1, CACHE_MISS_L2
41.10,711338,2256701
42.50,693240,2155682
48.62,707416,742909
35.79,1062817,1358128
21.32,2688510,3760753
43.81,634284,1256860
37.04,984202,893282
36.07,851534,979145
35.51,806760,1212270
25.39,2695937,2215683
20.73,2540860,3956582
38.09,596852,2283819
42.78,680611,1847204
45.52,714898,1123047
20.92,1682304,3542137
41.85,713065,1664133
44.26,771095,663410
42.56,742527,733841
42.51,735137,473105
39.81,747179,799775
28.25,1520273,2482645
29.27,1289196,1786347
23.36,1878106,3893838
42.80,767875,2221401
47.16,653938,1016338
46.13,654198,1052683
48.45,790361,1339267
50.65,806545,879706
51.41,812736,839791
48.49,889186,924631
28.30,1433740,1692243
27.31,1543471,2157076
22.59,2535226,2553303
50.68,813159,856850
47.12,919254,1006998
30.34,1604898,1193878
27.11,1598325,2130722
44.91,680224,1182901
46.77,829887,1450290
46.88,832609,1414557
45.67,747478,651026
40.73,879792,938091
32.90,1106659,956382
32.49,1107816,1315784
23.81,1670874,2806514
20.25,1858277,3615767
41.66,711264,2697655
39.88,711107,2796914
39.41,621362,2414514
42.04,783310,1812119
45.48,919621,892647
43.91,896478,566593
30.69,1088392,1441717
28.46,1323658,1714976
26.37,1559646,2520074
48.26,943723,974259
48.26,943622,920437
53.18,1149247,801796
52.83,1149223,825264
49.65,999644,802832
52.72,1147209,841810
49.62,1244999,911911
49.78,1244366,867722
48.44,749915,993203
39.79,1255583,1572752
37.63,1769878,1617492
37.27,1801595,1837042
18.40,5788837,2524789
17.79,5512549,3712726
48.86,1065277,1242784
49.64,578973,505287
43.64,1171373,595283
39.09,1237837,1628882
39.29,1229628,1609299
41.73,1295224,655842
28.37,1925848,2142404
40.83,871198,2341681
41.20,1120784,2454707
41.31,1118222,2414531
43.12,1179919,1670997
43.08,1024703,1529446
39.35,947473,1338131
27.17,1127190,2048782
27.77,1023241,1679349
20.14,1807864,3832566
34.07,1029615,3874715
34.07,1054921,3621134
33.97,1061014,3599933
42.43,869231,663695
40.54,1236481,706089
41.44,856562,394791
39.21,973333,753651
26.84,1776035,3137161
35.68,878197,2841246
44.61,1011088,1624948
33.55,1405598,1189208
25.25,2838171,3091112
35.47,874969,2854216
40.72,893187,1452754
45.85,1011010,1605595
47.84,1063165,1104249
48.70,1181929,854293
35.12,1425619,958614
35.56,971187,3436952
46.64,949465,453277
46.00,954603,586008
45.30,749538,355495
42.89,815881,783535
40.97,977054,952914
44.83,1148803,579937
43.90,870400,372080
30.62,1374031,2010710
30.60,1477214,2110177
32.98,1171643,1333489
27.08,2108264,3729841
39.48,1014405,2932306
40.82,896947,1386407
47.11,1061732,921972
45.32,1007618,516093
46.04,1167301,988115
26.99,2794872,3154242
34.43,915806,3026755
39.46,895643,1545681
46.24,1065092,1080097
47.23,1068568,1149095
46.29,1062104,1124753
46.72,1176885,788071
43.57,1212576,833501
39.50,1222690,754681
38.67,1214803,1063634
31.36,2368915,1696703
23.63,2424154,4294368
28.04,2414082,3126314
25.44,2432052,4064846
38.54,993809,3373096
41.19,1036271,2527896
42.65,1062699,1654606
43.50,1097763,651168
39.81,681207,786977
39.79,933872,915262
39.06,669461,832996
35.42,1161420,1854330
31.54,927472,1438759
28.10,1519421,2604936
43.36,1045478,935975
44.21,1165102,401765
29.76,1536822,2012564
28.45,1541388,2193278
41.45,1039432,2919318
38.53,1036025,3004255
38.96,1024039,2879692
45.54,641220,595723
28.68,1528436,2084006
28.71,1538517,2111773
24.39,2799566,2710478
38.40,883937,2917522
38.10,1038176,3077010
49.95,1091456,1120099
47.25,1237965,1110249
38.71,1392307,1644519
36.22,1392507,2203399
36.29,1403243,2230310
22.21,2444995,4080284
35.55,834483,3264545
41.41,1010024,2425040
40.42,1040658,2530299
31.54,1083555,1589235
24.20,1525459,2787000
36.21,1016848,3517183
44.74,922947,705093
31.85,1178452,1281412
30.19,1402622,1995481
29.84,1516572,1644621
41.31,904760,1491863
42.17,903546,1389863
48.00,1074598,1049715
31.59,1357130,1288471
27.93,1515394,2131853
26.77,2797537,2227664
36.24,886819,2813764
37.93,1055000,3076258
37.83,1052526,3133521
45.10,1056616,1747570
47.56,1090824,1133252
48.23,1086815,1255978
46.77,1243904,939107
42.75,1245263,1093705
29.51,1314249,2192988
25.55,2420028,3892703
42.83,1095810,1877142
40.79,787905,777469
39.79,1303794,1587256
40.15,1048907,3473173
39.50,1096388,3595238
40.93,1089320,2321080
41.05,951285,984752
37.85,1291580,960766
30.70,1336003,1367917
24.69,2199594,3983509
25.71,2203584,3915433
