perf, CACHE_MISS_L1, CACHE_MISS_L2
35.08,6289934,2485355
54.94,1186559,904122
38.85,2512994,3676629
54.96,711620,566801
50.75,694200,677561
52.06,635944,575808
47.66,934399,891293
29.75,1960418,7932022
42.55,2332956,405182
25.40,1882794,4730932
36.88,2283334,4251287
38.56,1875691,502768
42.04,2226701,2621254
40.29,1833351,695921
41.77,2344640,688952
42.11,2415679,624864
50.40,546751,320685
47.76,871886,502405
41.96,2224322,2888855
46.02,1281226,448396
42.31,2296949,1620644
39.17,2455924,792499
41.18,2071401,512305
52.66,2067002,2222200
53.01,1023221,1083977
52.42,896806,1239239
54.65,887090,959604
35.42,3537001,5924641
54.55,934691,897110
52.58,637712,373452
53.38,939884,782969
40.84,1514767,1942317
51.64,2244026,828897
47.73,1755955,2050256
46.62,2005135,1949201
43.74,1863278,2579281
55.02,558499,318798
47.93,2106966,3382302
43.29,1697362,1761185
46.84,2208642,1063749
31.04,3042388,3238736
45.22,2241869,767340
43.23,2302247,882010
45.95,1640988,475070
22.54,4393644,6680783
35.18,2017529,1525301
51.90,1290844,885782
33.15,1200470,2431478
51.52,1218455,641086
51.76,1230246,584615
49.01,682532,575535
40.74,1114930,4662937
48.56,1333393,1754096
51.16,1309839,885534
50.09,1331891,1178515
50.70,1293439,1058883
37.45,1886386,2228482
31.36,2550561,742446
52.96,2242890,840144
45.76,755089,669048
34.61,1389712,2264751
38.13,1941395,4505959
48.15,1345906,900342
29.37,1903313,2968296
33.34,1922078,8028290
49.80,2214200,1103056
39.94,1987191,1425953
50.56,2272266,342933
31.85,2188748,1048808
53.05,2205594,823840
50.88,1629880,612074
52.48,2211284,950665
47.80,2239859,1665799
44.47,2240256,4647907
48.91,2337121,1299153
36.24,2198505,7762405
47.46,2135178,779089
32.88,2100759,755807
46.36,940469,1651797
50.03,917738,948370
48.38,1402185,2794185
52.70,1408254,1203935
44.60,1361264,769324
54.84,1293256,573035
44.94,1080997,711908
53.03,799355,280219
28.48,1548126,1492196
26.08,2126369,2982338
53.12,1350818,749802
48.19,1234100,2308579
50.93,631720,361240
49.77,924075,708213
46.52,1168916,2354574
45.57,883123,566555
37.56,1325522,567444
51.21,1391388,2133708
47.54,1432969,3378360
51.45,1371456,1224905
37.45,1563008,1355395
36.99,1531303,758593
38.97,1123653,1562292
27.88,3339679,3528809
31.11,2493124,2735043
33.57,1599452,557661
32.90,2455299,1342799
53.30,1102161,821015
49.12,1199250,1151078
31.40,669005,756050
45.43,1233274,1071597
27.66,5793252,1570559
37.14,901657,2470416
45.60,1216461,1117620
50.43,1195303,980131
42.35,1793019,1290198
29.84,2624174,1196361
38.08,670492,391108
36.75,1492134,607177
29.09,672614,2210170
32.12,732538,509106
34.66,1005094,1025630
38.08,983652,2712684
39.34,1048585,823708
54.93,1172843,993828
36.16,3286365,1672894
51.38,1046802,1225526
41.09,1737556,2298870
30.51,709912,2204914
42.31,999978,1047049
32.97,3288990,3686034
44.33,941697,1722790
52.16,1057766,1030078
37.58,2106499,1016202
44.02,1210830,633704
29.88,4477216,2151751
42.31,1099328,1663055
38.23,683508,686790
52.97,1282056,1047589
47.54,1142393,1212867
47.75,1053145,1206986
31.28,1692702,2748095
50.55,807574,873671
50.84,793024,617650
48.57,1023090,825296
30.81,2556413,775999
43.42,1190280,432541
40.16,1100739,459201
45.66,1018822,2712835
40.32,854801,479504
39.53,1153689,4387672
37.34,1086984,991404
40.79,1304471,3146174
46.98,1324726,1426154
49.91,1022834,761077
46.36,1538597,814209
50.39,754550,1152380
50.03,566798,894465
55.31,1572201,582610
53.46,1472268,1438487
52.18,1482231,1668004
50.25,1498189,2183508
52.17,1574071,1127435
40.15,1561212,6031846
43.85,1651625,1602086
38.45,1662378,1057944
54.54,661310,555455
32.23,2229720,2191603
37.50,2486449,1184280
51.83,1451481,792221
52.44,1434761,344482
47.75,1526020,467567
41.36,1217789,429339
38.10,1982408,611945
51.81,955826,570660
51.88,1500342,430114
51.79,1586392,1187776
45.45,1026006,1207220
33.84,2040748,3237408
25.88,3884575,5993343
27.60,3879182,5900355
55.72,881084,658938
54.97,635091,602767
44.79,1283615,1692034
54.07,1100182,939309
47.93,1443440,2131815
43.78,1463857,884326
37.67,1670061,1002805
55.57,1536652,646966
49.86,917489,1193778
51.20,1650011,2334022
34.39,1376082,1794828
31.82,2092247,1376395
46.14,1452603,333931
48.71,1609376,3216913
51.19,1027820,895196
33.85,2105777,1028870
45.59,1049236,591545
47.55,1651265,3617963
45.49,1857764,803672
41.88,1617438,5888123
38.46,1742433,833158
