perf, CACHE_MISS_L1, CACHE_MISS_L2
56.04,45222,105020
55.97,44787,105448
57.27,44552,86880
56.45,40655,81284
57.29,45409,91926
57.96,44496,88601
56.30,41666,65736
57.73,48878,70405
57.36,44373,87803
57.81,39783,73689
57.56,49818,66131
56.72,53134,75856
58.65,40000,64550
58.46,41238,55787
58.27,48542,64209
56.35,45190,71862
58.98,45798,67574
58.87,47887,59262
58.90,46449,63031
56.99,43195,67356
58.21,40941,48984
57.78,49535,53792
58.13,31037,57171
57.98,33615,67675
58.90,48527,45756
58.48,45490,52951
56.90,29723,59202
57.23,31708,69512
59.14,39704,47352
57.78,36572,53102
58.91,29337,59260
58.66,28007,65531
58.05,39684,101238
58.54,44004,106022
59.53,40751,72948
60.47,41663,76443
61.13,46220,62513
60.18,42727,62325
61.31,48934,59022
60.91,48229,59828
60.04,43926,57914
61.09,49001,57935
60.33,47435,59654
60.85,50533,57611
59.49,34795,57974
60.84,41264,57670
60.19,31908,58963
61.06,30571,54915
