perf, CACHE_MISS_L1, CACHE_MISS_L2
42.59,3789945,2465502
33.25,11300097,2267065
41.02,3391468,3539097
38.99,2546726,2118244
40.23,1233879,4276826
29.61,2117136,8074245
19.62,18174157,14521104
40.79,3413119,3139428
42.00,4910806,6205273
39.01,1286754,1319517
31.62,2143075,4909940
28.26,5108443,18471807
29.97,4543450,9362399
35.93,2156836,4803171
43.14,4442168,3830201
33.76,10051176,7939330
45.15,4106204,3472558
32.28,3965317,10475912
42.66,4321638,2058788
40.12,3406754,3634790
42.22,3995571,793800
37.97,3889497,1808303
25.87,5869558,15779409
38.83,4127414,11448415
39.29,4944411,1560824
29.92,6525108,4910319
46.38,3934041,2513972
44.51,5036268,3249638
34.66,4414693,14947760
35.60,3946514,8083600
32.65,4401919,16413506
43.79,5177746,4327337
31.33,3907966,14831067
44.48,5113563,4230402
42.87,3521247,3245832
41.16,2329721,7389018
44.35,3170953,1641476
41.83,2635010,8958599
38.90,2949618,4732426
29.79,4798787,6997741
41.32,2365819,2923969
38.67,2168337,10060063
51.02,2407531,2313484
31.46,5320516,4258321
27.21,6693814,10677255
41.57,2633143,9817842
46.02,2830489,4774338
49.73,2473508,2386466
49.36,2473622,2598603
39.44,2708405,1721466
39.48,2193082,9685341
31.27,5303859,4892980
48.52,2980978,2167616
38.84,3028998,2841769
32.03,4871782,3109420
43.48,3357249,1676292
38.20,2901487,4237040
45.47,2931960,3368547
32.65,7516597,5534301
41.63,4308532,2453883
32.77,4414160,6527685
34.85,3790015,12604042
44.52,3830861,2139190
45.28,4576397,5326266
43.16,4660485,11202760
26.39,3240105,11691247
41.31,4044058,2644542
41.23,4633617,13096637
33.65,3831734,13106309
41.04,3083578,4673878
38.52,3469772,6909694
33.83,3832093,14653021
39.49,4487734,9337966
47.09,4496267,7163047
35.09,4659368,4468537
39.42,3914440,7113320
46.15,4521291,4897732
40.89,4261043,1749429
37.63,4014630,5636774
39.86,3757968,1649464
30.41,6840239,2915089
39.11,4296534,2753416
41.35,5496106,1601028
33.19,4357063,16716533
26.29,8065932,8208460
49.28,2922158,4461040
48.30,2813185,5298655
48.60,3200813,2380134
46.69,2502618,6215285
24.43,4297874,9598931
47.57,2578794,1807111
47.05,3314678,2828799
42.21,3195927,2909945
50.49,3295401,1840376
37.84,3790057,4947386
29.93,4727023,6787279
32.97,2972121,3942074
36.06,3957078,8244907
42.20,2247280,7588065
27.98,3740710,4862991
46.45,2456567,4157249
43.00,2096266,1023341
35.38,4107650,3527502
33.32,4564071,2051910
43.63,2926572,6646116
37.37,3063623,1528699
40.02,4275970,1394342
30.42,3192590,4412187
27.05,6500436,9103590
40.98,4736736,2486035
38.97,3553965,3361226
36.61,4153134,9510474
30.50,4521236,1778698
31.96,4723664,1481701
29.90,5844202,4402588
48.56,2882290,3910852
40.04,1857544,4421785
26.64,6265201,3381835
30.76,3855171,7699025
28.52,7538590,6642405
24.36,9861340,4815209
24.57,10693795,2181912
31.63,7370993,1635115
29.62,2535147,8277258
24.66,11188451,4404421
38.20,4052495,3464555
44.60,3298170,2964865
24.30,11753416,3528069
37.77,2971479,4520494
36.71,5325720,4947749
38.92,3027215,3905042
31.45,3557004,8257569
32.87,3852876,2864302
47.74,2566285,3877620
40.12,3881536,1476732
26.37,2400296,9367566
29.94,7546810,1775265
40.66,2327801,7013154
36.87,4367670,4244845
37.19,1897217,7110511
48.16,2216683,2288595
37.00,4502529,3943332
23.84,9926632,4468174
38.58,3758519,2811086
31.62,5017308,4107240
45.25,2038508,3009634
35.55,2295437,1745901
27.94,6594962,1643515
22.47,9060265,14840716
31.31,4898167,7692589
50.75,3544297,2139584
40.03,3072073,5360842
48.81,2970618,3417797
46.97,3471257,2844985
46.92,3107172,2164608
26.62,5555890,11470475
51.37,3350276,1806436
47.32,3702428,3450277
47.00,3285988,2027280
37.32,3062942,11576149
40.84,3399840,7717328
41.14,3336866,7599068
40.90,2789260,6309161
39.20,2891870,7167635
44.98,2981442,4823902
49.78,3453225,4824558
39.28,2643749,3810244
46.06,3593328,2770491
30.13,4258047,8511570
33.23,3575297,5273566
47.49,3806622,2856929
32.56,2900688,6183379
38.48,3380420,12247883
42.04,3450666,7585567
46.38,3815392,3716453
28.33,3656302,12864261
48.14,3330863,4971261
41.63,2404496,2771669
33.49,3706310,4783029
33.39,4181949,5302206
45.33,3782267,2446911
28.01,3746283,5768435
38.92,3327501,11806172
38.55,2776748,10976907
48.06,3340894,5090823
45.24,2872606,5015964
29.22,6946004,6088387
37.79,2744725,12323598
42.25,2923022,5879479
50.31,3284212,4757812
35.61,3649180,2457405
45.43,3686745,2092673
41.35,3320494,11891854
47.90,3334841,2654690
45.81,3814082,3874301
46.44,3488149,7292582
43.07,2398239,2125159
36.95,2628494,1069692
47.19,3852478,3510748
30.06,6538033,2868267
