perf, CACHE_MISS_L1, CACHE_MISS_L2
28.69,1438239,2757430
28.11,1563745,2791702
55.21,644759,266288
50.56,639071,473632
39.48,1795120,382762
56.18,696610,421946
34.78,1877747,1590376
49.66,2098827,246435
55.81,667700,626908
59.95,1154148,754866
50.53,651641,588577
61.69,1162050,579819
35.72,2451558,3672678
56.24,722704,827764
44.35,1602195,2264402
49.49,1449835,1636962
47.90,1982320,848600
51.63,1146305,1031648
57.18,697511,598320
48.41,1032717,1006099
48.04,1034693,1222838
57.68,635772,435081
50.34,835043,376299
43.22,1976432,453928
52.37,944415,232390
52.16,947451,314802
38.55,3373397,367477
54.55,2197824,224829
38.64,3354679,480950
21.84,4300524,7815535
25.27,3987291,5114914
50.34,441983,409452
54.66,355405,338561
35.50,1733309,1429542
39.15,1122301,926674
55.18,575821,305955
46.73,717351,304091
50.66,484466,372496
39.13,1176333,428329
55.12,771940,284337
50.18,693034,378989
54.25,1128117,404156
60.82,431579,576070
33.14,3302012,4340738
52.47,784270,937689
61.41,475002,375975
40.91,1976470,2012407
46.79,694663,587436
37.42,1087930,1167020
52.95,788076,570016
46.84,693860,569968
55.55,548348,228989
46.19,826020,477862
39.06,1469713,719855
40.73,2085922,992780
40.72,2077334,817538
51.94,1335824,279985
48.12,1837945,398781
42.20,1974082,231074
36.55,2476554,282101
48.46,689162,1347984
57.44,536741,600290
58.17,562241,418826
58.32,578607,440043
49.62,730431,893174
42.67,1360856,1718347
49.76,512277,673670
33.56,1887622,2386910
50.24,710389,873395
58.38,626337,383612
29.52,2790768,3657048
52.32,460938,447062
58.44,572292,350627
52.14,450308,418179
46.71,986446,409625
38.98,1134875,639021
32.54,1865630,849564
38.99,1194123,272907
47.73,1398822,318874
33.65,1212585,1745638
47.87,1977155,229375
50.42,258209,186562
34.30,939751,1224706
38.88,1968973,393704
46.19,2012398,525900
33.57,2681599,3258665
45.82,819008,649854
36.36,572024,682909
35.04,724664,747234
45.12,1186156,855649
30.00,2441020,671443
52.61,889842,457606
51.42,694171,764377
36.24,1136175,1143789
47.53,939021,1198202
41.99,773799,515326
35.99,734541,784284
52.17,618397,556872
32.23,723275,491662
50.18,874914,814243
51.22,540475,498741
49.15,885615,776239
50.26,418784,929740
32.42,1787004,560231
34.09,2708457,871030
52.61,580783,548904
45.12,773867,650827
35.20,792551,941366
49.88,352601,531468
43.64,1049589,1657656
34.06,2331000,3731376
26.47,4566092,6514878
51.79,1597959,362534
29.23,4595532,5150285
52.52,639709,757118
56.21,487695,366374
53.05,490533,421639
53.32,615593,504201
48.64,1051356,480610
48.36,748360,425561
43.42,1232412,558248
52.59,598179,367609
47.75,1386287,280706
55.51,866075,381889
38.39,1865339,392634
37.67,2913249,460382
47.69,2014428,459829
48.59,872131,908327
40.96,1198454,1304509
41.99,1189595,1307358
57.49,430504,399020
41.11,1180331,1154659
58.13,451478,213191
57.69,847406,320034
54.38,902107,267294
57.62,763627,260469
56.49,1464914,693100
42.75,1995392,352102
42.69,2035642,398505
38.38,2757595,285243
30.92,2276461,3831979
31.69,2281758,3799093
31.69,2285062,3725424
57.10,398490,385662
57.10,374157,346000
43.39,1209959,1555191
51.73,551164,638238
37.18,1584822,2106800
37.33,1592125,2174215
56.78,396450,376359
38.82,1175300,1293238
39.05,1173288,1252237
47.23,653395,617873
40.02,1026664,913908
52.62,1355931,315321
37.65,2632034,209034
55.73,409119,747052
25.29,4205331,6672981
31.47,1856610,2886922
32.75,1792128,2330144
45.21,744137,1124607
36.31,1538603,2333185
36.78,1295534,1981649
32.50,2545832,3865847
35.50,2108492,2270038
47.24,1098192,930256
38.25,1071157,1115195
51.39,567781,300286
37.65,1763403,884390
55.96,473698,218485
51.84,1131307,242768
45.88,1537212,392060
35.92,1924568,296267
35.58,1816197,455182
25.62,3678347,5699132
33.09,2072599,3160251
58.18,1503485,403162
33.99,2117028,2514462
47.09,754994,1081614
58.43,511211,383805
53.76,785371,302238
40.50,1077003,677574
48.01,720957,498678
40.95,1200724,548291
36.08,1868492,731125
41.13,2190568,382594
37.55,2838918,250705
56.59,256480,445730
41.42,1453544,2793710
34.47,1898681,2369884
44.47,1429978,1675565
31.14,2727358,3699683
38.96,1171891,1000762
59.16,818867,413516
47.60,1072632,600170
35.09,1867224,609561
53.36,1500687,393377
48.22,1856342,382866
36.90,2693140,335789
40.71,1937813,236836
